range,values
'Cotizaciones'!M200,[[0.93]]
'Cotizaciones'!N200,[['PSU']]
'Cotizaciones'!F201,[['SATURN 12F ARGB PRO']]
'Cotizaciones'!M201,[[0.91]]
'Cotizaciones'!N201,[['Kit de ventilación']]
'Cotizaciones'!F202,[['Z1INSSO10PRO']]
'Cotizaciones'!M202,[[1.0]]
'Cotizaciones'!N202,[['Sistema operativo']]
'Cotizaciones'!F203,[['BX8071512400F']]
'Cotizaciones'!M203,[[0.91]]
'Cotizaciones'!N203,[['CPU']]
'Cotizaciones'!F205,[['N730K-2GD3H/LPV1']]
'Cotizaciones'!M205,[[0.91]]
'Cotizaciones'!N205,[['GPU']]
'Cotizaciones'!F210,[['Z1INSSO10PRO']]
'Cotizaciones'!M210,[[1.0]]
'Cotizaciones'!N210,[['Sistema operativo']]
'Cotizaciones'!F225,[['MFW-B2DN-12NFA-S2']]
'Cotizaciones'!M225,[[0.88]]
'Cotizaciones'!N225,[['FAN']]
'Cotizaciones'!F226,[['BX8071512400F']]
'Cotizaciones'!M226,[[0.89]]
'Cotizaciones'!N226,[['CPU']]
'Cotizaciones'!F229,[['AX4U320016G16A-SR30']]
'Cotizaciones'!M229,[[0.91]]
'Cotizaciones'!N229,[['RAM']]
'Cotizaciones'!F232,[['YGA-68809']]
'Cotizaciones'!M232,[[1.0]]
'Cotizaciones'!N232,[['CASE']]
'Cotizaciones'!F234,[['Z1INSSO10PRO']]
'Cotizaciones'!M234,[[1.0]]
'Cotizaciones'!N234,[['Sistema operativo']]
'Cotizaciones'!F239,[['OVM-S1332']]
'Cotizaciones'!M239,[[0.89]]
'Cotizaciones'!N239,[['MBRACKET']]
'Cotizaciones'!F240,[['ASX6000PNP-512GT-C']]
'Cotizaciones'!M240,[[0.98]]
'Cotizaciones'!N240,[['SSD']]
'Cotizaciones'!F241,[['Z1INSSO10PRO']]
'Cotizaciones'!M241,[[1.0]]
'Cotizaciones'!N241,[['Sistema operativo']]
'Cotizaciones'!F242,[['Z1ENVIO']]
'Cotizaciones'!M242,[[1.0]]
'Cotizaciones'!N242,[['SERVICE']]
'Cotizaciones'!F243,[['Z1INSEQUIMAN']]
'Cotizaciones'!M243,[[1.0]]
'Cotizaciones'!N243,[['SERVICE']]
'Cotizaciones'!F244,[['BX8071512700K']]
'Cotizaciones'!M244,[[0.89]]
'Cotizaciones'!N244,[['CPU']]
'Cotizaciones'!F247,[['SNVS/1000G']]
'Cotizaciones'!M247,[[1.0]]
'Cotizaciones'!N247,[['SSD']]
'Cotizaciones'!F248,[['RR-2V2L-18PD-R1']]
'Cotizaciones'!M248,[[0.9]]
'Cotizaciones'!N248,[['AIRC']]
'Cotizaciones'!F251,[['Z1INSSO10PRO']]
'Cotizaciones'!M251,[[1.0]]
'Cotizaciones'!N251,[['Sistema operativo']]
'Cotizaciones'!F253,[['BX8071512700K']]
'Cotizaciones'!M253,[[0.89]]
'Cotizaciones'!N253,[['CPU']]
'Cotizaciones'!F257,[['SNVS/1000G']]
'Cotizaciones'!M257,[[1.0]]
'Cotizaciones'!N257,[['SSD']]
'Cotizaciones'!F258,[['RR-2V2L-18PD-R1']]
'Cotizaciones'!M258,[[0.9]]
'Cotizaciones'!N258,[['AIRC']]
'Cotizaciones'!F261,[['Z1INSSO10PRO']]
'Cotizaciones'!M261,[[1.0]]
'Cotizaciones'!N261,[['Sistema operativo']]
'Cotizaciones'!F264,[['BX8070110100']]
'Cotizaciones'!M264,[[0.96]]
'Cotizaciones'!N264,[['CPU']]
'Cotizaciones'!F267,[['WDS480G3G0A']]
'Cotizaciones'!M267,[[0.9]]
'Cotizaciones'!N267,[['SSD']]
'Cotizaciones'!F269,[['Z1INSSO10PRO']]
'Cotizaciones'!M269,[[1.0]]
'Cotizaciones'!N269,[['Sistema operativo']]
'Cotizaciones'!F271,[['TZ19COMB01-LA']]
'Cotizaciones'!M271,[[1.0]]
'Cotizaciones'!N271,[['KITKM']]
'Cotizaciones'!F274,[['BX8071512600KF']]
'Cotizaciones'!M274,[[1.0]]
'Cotizaciones'!N274,[['CPU']]
'Cotizaciones'!F275,[['B660M DS3H DDR4']]
'Cotizaciones'!M275,[[0.97]]
'Cotizaciones'!N275,[['MOBO']]
'Cotizaciones'!F277,[['KF432C16BB/16']]
'Cotizaciones'!M277,[[1.0]]
'Cotizaciones'!N277,[['RAM']]
'Cotizaciones'!F282,[['Z1INSSO10PRO']]
'Cotizaciones'!M282,[[1.0]]
'Cotizaciones'!N282,[['Sistema operativo']]
'Cotizaciones'!F283,[['Z1INSEQUISO']]
'Cotizaciones'!M283,[[0.95]]
'Cotizaciones'!N283,[['SERVICE']]
'Cotizaciones'!F284,[['BX8071512900']]
'Cotizaciones'!M284,[[0.92]]
'Cotizaciones'!N284,[['CPU']]
'Cotizaciones'!F287,[['KF432C16BB/16']]
'Cotizaciones'!M287,[[0.98]]
'Cotizaciones'!N287,[['RAM']]
'Cotizaciones'!F288,[['AGAMMIXS70B-1T-CS']]
'Cotizaciones'!M288,[[1.0]]
'Cotizaciones'!N288,[['SSD']]
'Cotizaciones'!F289,[['90RC00E0-M0AAY0']]
'Cotizaciones'!M289,[[0.93]]
'Cotizaciones'!N289,[['WATERC']]
'Cotizaciones'!F292,[['Z1INSSO10PRO']]
'Cotizaciones'!M292,[[1.0]]
'Cotizaciones'!N292,[['Sistema operativo']]
'Cotizaciones'!F294,[['NA-633']]
'Cotizaciones'!M294,[[0.89]]
'Cotizaciones'!N294,[['KITKM']]
'Cotizaciones'!F297,[['Z1INSEQUISO']]
'Cotizaciones'!M297,[[0.95]]
'Cotizaciones'!N297,[['SERVICE']]
'Cotizaciones'!F298,[['BX8071512400F']]
'Cotizaciones'!M298,[[0.91]]
'Cotizaciones'!N298,[['CPU']]
'Cotizaciones'!F301,[['KF436C18BB/16']]
'Cotizaciones'!M301,[[0.99]]
'Cotizaciones'!N301,[['RAM']]
'Cotizaciones'!F302,[['ALEG-700-512GCS']]
'Cotizaciones'!M302,[[0.99]]
'Cotizaciones'!N302,[['SSD']]
'Cotizaciones'!F306,[['Z1INSSO10PRO']]
'Cotizaciones'!M306,[[1.0]]
'Cotizaciones'!N306,[['Sistema operativo']]
'Cotizaciones'!F307,[['Z1INSEQUISO']]
'Cotizaciones'!M307,[[0.95]]
'Cotizaciones'!N307,[['SERVICE']]
'Cotizaciones'!F308,[['BX8071512400F']]
'Cotizaciones'!M308,[[0.91]]
'Cotizaciones'!N308,[['CPU']]
'Cotizaciones'!F309,[['PRIME H610M-F WIFI D4']]
'Cotizaciones'!M309,[[0.9]]
'Cotizaciones'!N309,[['MOBO']]
'Cotizaciones'!F311,[['KF432C16BB2A/16']]
'Cotizaciones'!M311,[[0.98]]
'Cotizaciones'!N311,[['RAM']]
'Cotizaciones'!F312,[['ALEG-700-512GCS']]
'Cotizaciones'!M312,[[0.99]]
'Cotizaciones'!N312,[['SSD']]
'Cotizaciones'!F315,[['Z1INSSO10PRO']]
'Cotizaciones'!M315,[[1.0]]
'Cotizaciones'!N315,[['Sistema operativo']]
'Cotizaciones'!F316,[['Z1INSEQUISO']]
'Cotizaciones'!M316,[[0.95]]
'Cotizaciones'!N316,[['SERVICE']]
'Cotizaciones'!F321,[['ALEG-700-512GCS']]
'Cotizaciones'!M321,[[0.99]]
'Cotizaciones'!N321,[['SSD']]
'Cotizaciones'!F324,[['Z1INSSO10PRO']]
'Cotizaciones'!M324,[[1.0]]
'Cotizaciones'!N324,[['Sistema operativo']]
'Cotizaciones'!F325,[['Z1INSEQUISO']]
'Cotizaciones'!M325,[[0.95]]
'Cotizaciones'!N325,[['SERVICE']]
'Cotizaciones'!F326,[['BX8071512700F']]
'Cotizaciones'!M326,[[0.88]]
'Cotizaciones'!N326,[['CPU']]
'Cotizaciones'!F329,[['KF432C16BB2A/32']]
'Cotizaciones'!M329,[[0.89]]
'Cotizaciones'!N329,[['RAM']]
'Cotizaciones'!F330,[['AS40G-512GT-C']]
'Cotizaciones'!M330,[[0.9]]
'Cotizaciones'!N330,[['SSD']]
'Cotizaciones'!F331,[['ST2000DM008']]
'Cotizaciones'!M331,[[0.92]]
'Cotizaciones'!N331,[['HDD']]
'Cotizaciones'!F335,[['Z1INSSO10PRO']]
'Cotizaciones'!M335,[[1.0]]
'Cotizaciones'!N335,[['Sistema operativo']]
'Cotizaciones'!F336,[['Z1INSEQUISO']]
'Cotizaciones'!M336,[[0.95]]
'Cotizaciones'!N336,[['SERVICE']]
'Cotizaciones'!F340,[['AX4U320016G16A-ST50']]
'Cotizaciones'!M340,[[1.0]]
'Cotizaciones'!N340,[['RAM']]
'Cotizaciones'!F341,[['SNV2S/500G']]
'Cotizaciones'!M341,[[0.99]]
'Cotizaciones'!N341,[['SSD']]
'Cotizaciones'!F344,[['PSG650']]
'Cotizaciones'!M344,[[0.98]]
'Cotizaciones'!N344,[['PSU']]
'Cotizaciones'!F345,[['Z1INSSO10PRO']]
'Cotizaciones'!M345,[[1.0]]
'Cotizaciones'!N345,[['Sistema operativo']]
'Cotizaciones'!F346,[['Z1INSEQUI']]
'Cotizaciones'!M346,[[1.0]]
'Cotizaciones'!N346,[['SERVICE']]
'Cotizaciones'!F352,[['PSG650']]
'Cotizaciones'!M352,[[0.98]]
'Cotizaciones'!N352,[['PSU']]
'Cotizaciones'!F353,[['Z1INSSO10PRO']]
'Cotizaciones'!M353,[[1.0]]
'Cotizaciones'!N353,[['Sistema operativo']]
'Cotizaciones'!F354,[['Z1INSEQUI']]
'Cotizaciones'!M354,[[1.0]]
'Cotizaciones'!N354,[['SERVICE']]
'Cotizaciones'!F358,[['AX4U320032G16A-ST50']]
'Cotizaciones'!M358,[[1.0]]
'Cotizaciones'!N358,[['RAM']]
'Cotizaciones'!F362,[['Z1INSSO10PRO']]
'Cotizaciones'!M362,[[1.0]]
'Cotizaciones'!N362,[['Sistema operativo']]
'Cotizaciones'!F364,[['BX8070110900']]
'Cotizaciones'!M364,[[0.97]]
'Cotizaciones'!N364,[['CPU']]
'Cotizaciones'!F367,[['AX4U320016G16A-SR30']]
'Cotizaciones'!M367,[[1.0]]
'Cotizaciones'!N367,[['RAM']]
'Cotizaciones'!F368,[['SNVS/250G']]
'Cotizaciones'!M368,[[0.95]]
'Cotizaciones'!N368,[['SSD']]
'Cotizaciones'!F369,[['WD10EZEX']]
'Cotizaciones'!M369,[[0.99]]
'Cotizaciones'!N369,[['HDD']]
'Cotizaciones'!F371,[['xzps650b']]
'Cotizaciones'!M371,[[0.98]]
'Cotizaciones'!N371,[['PSU']]
'Cotizaciones'!F372,[['Z1INSSO10PRO']]
'Cotizaciones'!M372,[[1.0]]
'Cotizaciones'!N372,[['Sistema operativo']]
'Cotizaciones'!F376,[['KF432C16BB1/16']]
'Cotizaciones'!M376,[[0.99]]
'Cotizaciones'!N376,[['RAM']]
'Cotizaciones'!F378,[['WD10EZEX']]
'Cotizaciones'!M378,[[0.99]]
'Cotizaciones'!N378,[['HDD']]
'Cotizaciones'!F380,[['CSG-500 ROJO']]
'Cotizaciones'!M380,[[0.89]]
'Cotizaciones'!N380,[['CASE']]
'Cotizaciones'!F382,[['Z1INSSO10PRO']]
'Cotizaciones'!M382,[[1.0]]
'Cotizaciones'!N382,[['Sistema operativo']]
'Cotizaciones'!F386,[['AD4U320016G22-SGN']]
'Cotizaciones'!M386,[[1.0]]
'Cotizaciones'!N386,[['RAM']]
'Cotizaciones'!F388,[['WD10EZEX']]
'Cotizaciones'!M388,[[0.99]]
'Cotizaciones'!N388,[['HDD']]
'Cotizaciones'!F391,[['CYLON 600W']]
'Cotizaciones'!M391,[[0.94]]
'Cotizaciones'!N391,[['PSU']]
'Cotizaciones'!F392,[['Z1INSSO10PRO']]
'Cotizaciones'!M392,[[1.0]]
'Cotizaciones'!N392,[['Sistema operativo']]
'Cotizaciones'!F395,[['Z1INSEQUISO']]
'Cotizaciones'!M395,[[0.89]]
'Cotizaciones'!N395,[['SERVICE']]
'Cotizaciones'!F398,[['Z1INSEQUISO']]
'Cotizaciones'!M398,[[0.89]]
'Cotizaciones'!N398,[['SERVICE']]
'Cotizaciones'!F401,[['AX4U320032G16A-ST50']]
'Cotizaciones'!M401,[[0.93]]
'Cotizaciones'!N401,[['RAM']]
'Cotizaciones'!F404,[['MCB-B320L-KGNN-S02']]
'Cotizaciones'!M404,[[0.89]]
'Cotizaciones'!N404,[['CASE']]
'Cotizaciones'!F406,[['Z1INSEQUISO']]
'Cotizaciones'!M406,[[0.89]]
'Cotizaciones'!N406,[['SERVICE']]
'Cotizaciones'!F411,[['SNVS/250G']]
'Cotizaciones'!M411,[[0.95]]
'Cotizaciones'!N411,[['SSD']]
'Cotizaciones'!F413,[['CL-P105-AL12SW-A']]
'Cotizaciones'!M413,[[0.88]]
'Cotizaciones'!N413,[['AIRC']]
'Cotizaciones'!F416,[['Z1INSSO10PRO']]
'Cotizaciones'!M416,[[0.95]]
'Cotizaciones'!N416,[['Sistema operativo']]
'Cotizaciones'!F418,[['Z1INSEQUISO']]
'Cotizaciones'!M418,[[0.89]]
'Cotizaciones'!N418,[['SERVICE']]
'Cotizaciones'!F421,[['SNVS/500G']]
'Cotizaciones'!M421,[[0.88]]
'Cotizaciones'!N421,[['SSD']]
'Cotizaciones'!F423,[['Z1INSSO10PRO']]
'Cotizaciones'!M423,[[0.95]]
'Cotizaciones'!N423,[['Sistema operativo']]
'Cotizaciones'!F425,[['Z1INSEQUISO']]
'Cotizaciones'!M425,[[0.89]]
'Cotizaciones'!N425,[['SERVICE']]
'Cotizaciones'!F428,[['SNVS/500G']]
'Cotizaciones'!M428,[[0.88]]
'Cotizaciones'!N428,[['SSD']]
'Cotizaciones'!F430,[['Z1INSSO10PRO']]
'Cotizaciones'!M430,[[0.95]]
'Cotizaciones'!N430,[['Sistema operativo']]
'Cotizaciones'!F431,[['Z1INSEQUISO']]
'Cotizaciones'!M431,[[0.89]]
'Cotizaciones'!N431,[['SERVICE']]
'Cotizaciones'!F434,[['SNVS/500G']]
'Cotizaciones'!M434,[[0.88]]
'Cotizaciones'!N434,[['SSD']]
'Cotizaciones'!F436,[['Z1INSSO10PRO']]
'Cotizaciones'!M436,[[0.95]]
'Cotizaciones'!N436,[['Sistema operativo']]
'Cotizaciones'!F437,[['Z1INSEQUISO']]
'Cotizaciones'!M437,[[0.89]]
'Cotizaciones'!N437,[['SERVICE']]
'Cotizaciones'!F440,[['Z1INSSO10PRO']]
'Cotizaciones'!M440,[[1.0]]
'Cotizaciones'!N440,[['Sistema operativo']]
'Cotizaciones'!F441,[['BX8070110105']]
